user_000001	--	m	Asia	63 198 135 101 192 214 210 242 259 334 379 334 1522 3821 3408 2471 1366 768 284 131 65 82 49 57	2335 2330 2484 2309 2414 2593 2220	1168 1470 1577 1944 617 716 668 1057 1627 1476 2108 2257	0 0 0 0 0 0 3147 1494 7917 4127 0	
user_000002	--	f	South America	1688 1560 1551 1665 1620 1449 1142 736 1083 1823 2426 2717 2918 3092 3396 3581 3376 3598 3814 3793 3377 2952 2183 1898	10632 8119 7284 8168 7936 6742 8557	4017 4936 6011 5813 4357 2544 5297 5165 4569 5292 5155 4282	0 0 0 0 0 0 25914 16258 12389 2877 0	
user_000003	22	m	North America	1246 1121 1322 1151 1156 822 622 442 312 175 132 111 90 108 182 445 669 1068 1315 1500 1506 1402 1398 1199	2457 2659 3121 2667 3080 2647 2863	2591 1241 836 454 215 1010 3556 2430 1264 2081 2128 1688	0 0 0 0 0 476 6094 5880 6026 1018 0	
user_000004	--	f	--	1401 1304 1173 1099 949 881 712 560 405 402 428 454 386 445 376 399 387 485 616 775 954 1199 1275 1346	3330 2348 2499 2609 3033 1733 2859	678 279 1456 1460 2328 1214 295 2202 2681 2531 1614 1673	0 0 0 0 0 0 0 10837 6865 709 0	
user_000005	--	m	Europe	918 809 720 555 572 597 559 575 526 649 734 792 818 950 1060 1054 1000 945 831 760 1204 1232 1286 1195	2670 2640 3040 2975 3201 2566 3249	1419 924 1554 1619 1857 1723 1597 1298 1950 1309 1793 3298	0 0 0 0 0 0 4973 11411 3589 368 0	
user_000006	24	--	Europe	812 515 368 312 366 426 464 639 1011 1284 1591 1714 1751 1805 1743 1505 1348 1359 1473 1498 1708 2142 1749 1438	4802 4504 4349 4012 3717 3777 3860	2413 1835 1516 1754 2596 2411 2518 2696 2580 3240 2506 2956	0 0 0 0 0 0 10204 13322 5271 224 0	
user_000007	--	f	North America	117 112 139 105 98 123 123 93 65 62 56 40 54 89 154 114 108 149 139 135 138 72 89 80	601 250 272 206 399 375 351	101 271 223 205 253 223 248 257 188 90 195 200	0 0 0 0 0 0 1562 532 359 1 0	
user_000008	23	m	Europe	2127 2371 2337 2273 2156 2140 1781 1809 1629 1539 1338 1171 1183 1269 1399 1194 962 773 1019 1230 1286 1208 1347 1694	9481 1722 1872 1318 2680 3834 16328	12763 11273 6914 2299 0 0 0 0 0 0 0 3986	0 0 0 0 0 0 0 0 3986 33249 0	
user_000009	19	f	North America	254 254 327 361 365 239 211 233 135 81 13 1 45 153 186 218 297 250 273 253 248 260 246 330	553 888 863 806 731 823 569	965 520 592 684 90 564 269 97 250 494 192 516	0 0 0 0 0 0 0 1073 1898 2262 0	
user_000010	19	m	Europe	53 44 29 43 97 113 170 251 291 339 589 737 694 597 501 472 383 287 230 229 152 91 91 91	626 808 1146 670 994 1193 1137	412 86 716 3140 1042 78 71 358 302 59 0 310	0 0 0 0 0 0 0 2240 2879 1455 0	
user_000011	21	m	Europe	1640 959 552 278 68 35 93 154 208 326 439 600 648 553 467 557 498 557 546 663 1122 1639 2298 2271	2813 2524 2730 2566 2952 1909 1677	1764 2012 1643 1088 1427 682 518 996 1254 764 2773 2250	0 0 0 0 0 3418 7798 3707 904 1344 0	
user_000012	28	f	North America	3721 3914 3832 3134 2917 2965 3070 2894 2430 1915 1615 1530 1695 2204 2625 3095 3780 4199 4335 4445 4372 4264 3577 3348	12360 10524 10307 10993 10130 10664 10898	5343 4675 6779 7925 6010 4680 8160 8072 5677 6306 5897 6352	0 0 0 0 0 9035 18014 21902 20300 6625 0	
user_000013	25	f	Europe	113 21 10 0 0 0 2 25 3 180 414 531 613 699 774 781 743 727 748 637 629 511 439 296	1235 1217 1183 1034 1407 1426 1394	1329 1108 896 706 689 201 351 582 621 671 1137 605	0 0 0 0 0 0 511 8384 0 1 0	
user_000014	--	--	--	10 8 0 2 2 8 1 0 0 0 0 0 0 2 11 36 43 19 18 37 30 54 46 27	0 40 87 133 21 45 28	16 1 0 1 1 0 0 0 0 10 194 131	0 0 0 0 0 0 335 17 1 1 0	
user_000015	21	--	Africa	315 143 102 13 10 64 59 64 128 242 328 651 823 864 932 1020 1189 1284 1050 970 887 1041 936 628	2015 2238 1777 1859 2130 1957 1767	1104 1914 2160 1537 437 969 1231 314 1061 1022 1062 932	0 0 0 0 0 0 0 0 11321 2422 0	
user_000016	--	m	Europe	239 27 0 0 0 0 0 35 600 1467 2209 2058 1639 1228 1260 1439 1515 1452 1411 1244 1332 1404 1003 610	2623 2789 3637 3029 4445 3885 1764	2073 1672 1076 806 919 1487 1501 482 2866 2951 3554 2785	0 0 0 0 0 8389 7861 0 4308 1614 0	
user_000017	22	m	Africa	1219 767 507 376 275 153 104 50 47 69 197 499 919 1265 1231 1186 1064 1091 1064 1094 1363 1627 1781 1698	4192 2693 2469 2649 2447 1995 3201	2042 1413 2174 3021 1608 689 417 666 2600 2390 1054 1572	0 0 0 0 0 0 0 4431 9708 5507 0	
user_000018	22	--	Europe	211 102 100 81 75 70 71 114 167 198 271 299 228 303 385 712 1105 1211 1176 724 847 1416 1215 633	1821 1632 1922 1383 1399 1909 1648	919 578 922 809 461 598 404 823 1384 1331 1701 1784	0 0 0 0 0 3736 7537 440 0 1 0	
user_000019	29	f	North America	1245 1318 1182 1074 996 863 940 826 697 566 388 310 236 446 1095 1652 1928 1909 1931 1746 1776 1703 1500 1199	2739 4981 4569 4881 4113 4193 2050	3750 2253 3447 1856 2859 2068 2091 2078 272 1207 2507 3138	0 0 0 0 0 4060 16360 5412 1645 49 0	
